2022-12-05 04:12:42.758 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 8939 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 04:12:42.762 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:12:33.643 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 10887 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:12:33.645 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:16:33.762 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 10958 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:16:33.764 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:19:42.832 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11035 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:19:42.833 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:27:34.570 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11127 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:27:34.572 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:31:48.834 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11221 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:31:48.836 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 05:55:11.471 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11456 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 05:55:11.472 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 06:14:16.112 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11644 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 06:14:16.114 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 06:18:22.514 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11746 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 06:18:22.516 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 06:21:01.083 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 11811 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 06:21:01.085 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 06:45:43.589 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12160 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 06:45:43.591 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 06:48:13.562 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12221 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 06:48:13.565 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:05:29.995 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12397 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:05:29.997 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:06:32.317 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12453 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:06:32.320 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:32:39.744 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12690 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:32:39.746 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:36:37.696 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12764 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:36:37.698 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:44:06.937 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 12915 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:44:06.939 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 07:55:29.925 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 13075 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 07:55:29.927 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:15:10.646 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 13746 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:15:10.648 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:16:56.887 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 13802 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:16:56.887 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:16:56.904 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 08:16:56.905 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 08:16:56.905 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 08:16:56.905 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 08:16:56.910 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 08:16:56.910 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 23 ms
2022-12-05 08:16:56.918 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 08:28:56.428 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 13935 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:28:56.430 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:49:39.249 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 14295 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:49:39.251 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:51:21.445 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 14345 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:51:21.445 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:51:21.463 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 08:51:21.463 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 08:51:21.464 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 08:51:21.464 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 08:51:21.469 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
