2022-12-06 07:31:59.595 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 1346 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 07:31:59.598 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-06 07:50:32.537 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 2290 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 07:50:32.540 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-06 07:59:24.247 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 2621 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 07:59:24.249 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-06 08:03:07.024 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 2716 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 08:03:07.026 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-06 08:06:18.450 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 2801 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 08:06:18.452 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-06 08:08:06.966 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 2864 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-06 08:08:06.978 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
